name,weather,humidity,temp,speed,grnd_level,dt,hour
79,Dāhānu,Clouds,87,301.13,8.16,1002,2024-07-26 11:14:52,11
80,Dapoli,Clouds,83,300.41,6.03,987,2024-07-26 11:14:53,11
81,Dārwha,Clouds,80,299.73,8.22,963,2024-07-26 11:14:53,11
82,Daryāpur,Clouds,87,298.6,6.35,969,2024-07-26 11:11:41,11
83,Dattāpur,Clouds,83,299.44,6.9,968,2024-07-26 11:11:42,11
84,Daulatabad,Clouds,75,299.05,8.57,937,2024-07-26 11:14:54,11
85,Daund,Clouds,81,297.29,6.05,948,2024-07-26 11:14:54,11
86,Deccan Gymkhana,Clouds,79,298.24,7.24,943,2024-07-26 11:14:54,11
87,Dehu,Clouds,79,297.87,7.82,940,2024-07-26 11:14:56,11
88,Deolāli,Clouds,79,298.57,9.88,941,2024-07-26 11:11:00,11
89,Deoli,Clouds,86,300.35,4.28,960,2024-07-26 11:10:38,11
90,Deūlgaon Rāja,Clouds,74,298.41,8.95,940,2024-07-26 11:14:58,11
91,Dharangaon,Clouds,72,301.58,8.08,977,2024-07-26 11:14:58,11
92,Dharmābād,Clouds,92,295.66,6.84,961,2024-07-26 11:15:00,11
93,Dhārūr,Clouds,82,295.98,8.93,923,2024-07-26 11:15:00,11
94,Dhule,Clouds,66,302.47,9.54,972,2024-07-26 11:15:01,11
95,Dhule,Clouds,66,302.47,9.54,972,2024-07-26 11:15:01,11
96,Dīglūr,Clouds,80,298.18,7.08,962,2024-07-26 11:15:03,11
97,Digras,Clouds,79,299.31,8.15,963,2024-07-26 11:11:41,11
98,Dombivali,Clouds,87,301.12,5.69,1002,2024-07-26 11:15:06,11
99,Dondaicha,Clouds,72,302.31,11.41,983,2024-07-26 11:15:06,11
100,Dudhani,Clouds,80,298.03,6.99,955,2024-07-26 11:15:07,11
101,Durgapur,Haze,70,307.31,4.63,986,2024-07-26 11:15:08,11
102,Erandol,Clouds,72,301.79,7.64,977,2024-07-26 11:15:09,11
103,Faizpur,Clouds,83,300.05,5.87,976,2024-07-26 11:15:09,11
104,Fort,Clouds,98,291.1,4.01,1007,2024-07-26 11:15:10,11
105,Gadhinglaj,Rain,88,297.07,7.18,935,2024-07-26 11:15:10,11
106,Gangākher,Clouds,83,297.21,6.97,959,2024-07-26 11:11:41,11
107,Gangāpur,Clouds,60,306.99,3.31,967,2024-07-26 11:11:45,11
108,Gevrai,Clouds,81,297.01,7.01,952,2024-07-26 11:10:16,11
109,Ghargaon,Clouds,74,298.48,9.58,939,2024-07-26 11:15:12,11
110,Ghātanji,Clouds,85,298.89,6.43,970,2024-07-26 11:15:12,11
111,Ghoti Budrukh,Clouds,84,297.41,8.41,940,2024-07-26 11:11:41,11
112,Ghugus,Rain,87,298.39,6.45,979,2024-07-26 11:11:41,11
113,Girgaon,Clouds,83,297.38,7.94,928,2024-07-26 11:15:15,11
114,Gondiā,Rain,92,298.16,4.54,964,2024-07-26 11:10:42,11
115,Gorai,Clouds,61,307.18,7.17,993,2024-07-26 11:15:15,11
